"","from","to","strength"
"85","shows_sportsmanship_and_does","cultivates_a_good_sense_of",-5.70512298627676
"86","has_a_cause_he_believes_in_and","lives_in_the_present",-5.38055632133728
"87","is_quick_to_respond_in_a_time","cultivates_practical_skills_and",-3.46808385597532
"88","is_ready_to_use_physical_force","is_willing_to_endure_suffering",-2.97293979207086
"89","powers_through_a_problem_when","has_a_plan_to_get_or_do_what_it",-4.56333684713772
"90","is_open_clear_and_consistent_in","has_a_cause_he_believes_in_and",-1.32139309533704
"91","accepts_survival_of_the_fittest","helps_other_men_to_be_good_men",-13.1337707787758
"92","is_willing_to_endure_suffering","knows_everything_about",-0.858571521022384
"93","shows_courtesy_by_holding_doors","does_not_speak_ill_of_others",-7.02638103044143
"94","has_a_penis","shows_courtesy_by_holding_doors",-2.17145803286877
"95","would_rather_try_and_fail_than","is_always_keen_to_explore_and",-7.15080348283755
"96","egalitarian","moderate",-6.92341481320634
"97","is_secure_in_his_convictions","is_quick_to_form_an_opinion_and",-4.10268122569605
"98","has_a_penis","is_financially_independent",-2.95172696590009
"99","cultivates_practical_skills_and","cultivates_as_many_interests_as",-4.01063108831391
"100","has_a_penis","protects_those_who_are_less",-8.90131249685527
"101","appreciates_beauty_in_all_of","puts_the_needs_and_feelings_of",-3.36414877595064
"102","does_not_let_his_feelings_cloud","does_not_perceive_something_as",-6.01596248444582
"103","is_quick_to_respond_in_a_time","does_not_let_fear_or",-0.699242586686864
"104","protects_those_who_are_less","cherishes_and_values_the",-2.25348864905447
"105","does_man_s_work_and_lets_women","does_not_trouble_others_with",-5.14492020454816
"106","is_ready_to_use_physical_force","keeps_his_feelings_to_himself",-7.74674692163842
"107","appreciates_beauty_in_all_of","arrives_to_occasions_on_time",-3.75471144046398
"108","is_open_clear_and_consistent_in","conservative",-2.43077864662529
"109","uses_his_wealth_and_social","appreciates_beauty_in_all_of",-0.866713920494306
"110","libertarian","anarchist",-7.40124847630306
"111","values_competition_and_embraces","always_looks_to_improve_himself",-4.04530115143211
"112","puts_the_lives_of_others_over","does_not_make_demands_of_his",-7.03448313750937
"113","may_take_a_beating_of_whatever","is_quick_to_respond_in_a_time",-5.6326361768127
"114","may_take_a_beating_of_whatever","does_not_rely_on_the_kindness",-3.07002067454744
"115","shows_sportsmanship_and_does","does_not_lie",-1.27731305317707
"116","uses_his_wealth_and_social","seeks_advice_when_he_wants_to",-3.39997485361232
"117","is_ready_to_use_physical_force","does_not_speak_ill_of_others",-9.79311133606109
"118","does_not_perceive_something_as","does_not_speak_ill_of_others",-9.07846988909995
"119","puts_his_bonds_with_other_men","does_not_let_his_feelings_cloud",-3.58076228560856
"120","is_willing_to_challenge_the","does_not_perceive_something_as",-5.15792254893074
"121","puts_the_lives_of_others_over","how_would_you_describe_your",-5.68813866278714
"122","would_rather_try_and_fail_than","does_what_he_says_he_will_do",-3.50041117973373
"123","does_not_let_fear_or","do_you_believe_that_a_secret",-4.31918609291571
"124","has_the_confidence_that_if","would_rather_try_and_fail_than",-5.57660230334216
"125","is_faithful_to_his_roots","is_open_clear_and_consistent_in",-2.24623763159502
"126","is_always_keen_to_explore_and","lives_in_the_present",-2.39285644630991
"127","does_not_need_to_prove_himself","does_not_make_demands_of_his",-4.66321798455255
"128","keeps_his_feelings_to_himself","worth_is_measured_by_his",-5.1806851784155
"129","protects_those_who_are_less","what_is_your_age",-5.93311391057455
"130","does_not_lie","does_not_speak_ill_of_others",-6.61613032674393
"131","is_unashamed_of_his_sexual","eats_whatever_food_he_wants",-2.35213993329245
"132","helps_other_men_to_be_good_men","protects_those_who_are_less",-1.37984959398761
"133","has_a_plan_to_get_or_do_what_it","is_financially_independent",-2.38153905064715
"134","is_willing_to_endure_suffering","puts_the_lives_of_others_over",-4.78147517374197
"135","egalitarian","libertarian",-4.97352312451136
"136","would_rather_try_and_fail_than","has_the_confidence_to_speak",-3.08068598171559
"137","is_quick_to_respond_in_a_time","appreciates_beauty_in_all_of",-7.76931743710276
"138","puts_his_bonds_with_other_men","appreciates_beauty_in_all_of",-3.22286351420149
"139","does_man_s_work_and_lets_women","prioritises_clarity_and",-3.48644777741259
"140","is_always_keen_to_explore_and","shows_sportsmanship_and_does",-4.00705980395799
"141","speaks_his_mind","settles_disputes_by_applying",-3.24609634418289
"142","cultivates_a_good_sense_of","keeps_his_feelings_to_himself",-3.88430466888633
"143","maintains_his_physical_strength","is_able_to_provide_financially",-4.93554563655496
"144","is_unashamed_of_his_sexual","puts_the_lives_of_others_over",-4.22984202632927
"145","may_take_a_beating_of_whatever","has_a_plan_to_get_or_do_what_it",-1.82077907766597
"146","is_financially_independent","anarchist",-4.36538151765726
"147","feminist","liberal",-3.54835282149435
"148","is_willing_to_challenge_the","is_unashamed_of_his_sexual",-3.52873807424288
"149","may_take_a_beating_of_whatever","is_willing_to_endure_suffering",-1.54882850885838
"150","has_the_confidence_that_if","shows_courtesy_by_holding_doors",-1.27500189803129
"151","keeps_his_feelings_to_himself","seeks_advice_when_he_wants_to",-3.25024235418772
"152","has_the_confidence_that_if","helps_other_men_to_be_good_men",-3.5614917122677
"153","puts_his_bonds_with_other_men","has_the_confidence_to_speak",-6.93242551126923
"154","where_do_you_live","men_s_rights_activist",-1.93925139816906
"155","is_willing_to_endure_suffering","is_willing_to_challenge_the",-3.23733164845788
"156","takes_the_lead_in_bed","has_a_penis",-3.50538657596888
"157","is_comfortable_with_who_he_is","is_willing_and_able_to_please",-1.93925118324569
"158","puts_his_bonds_with_other_men","accepts_survival_of_the_fittest",-2.16705016169527
"159","egalitarian","how_would_you_describe_your",-0.805991198090396
"160","is_ready_to_use_physical_force","dresses_practically",-0.666034759014394
"161","is_always_keen_to_explore_and","always_looks_to_improve_himself",-2.31013918507517
"162","uses_his_wealth_and_social","puts_the_needs_and_feelings_of",-3.87414407678324
"163","maintains_his_physical_strength","speaks_his_mind",-2.95848372900815
"164","how_would_you_describe_your","knows_everything_about",-3.18991833569396
"165","has_a_plan_to_get_or_do_what_it","knows_everything_about",-1.33688530948467
"166","accepts_survival_of_the_fittest","uses_his_wealth_and_social",-6.25786778137393
"167","shows_sportsmanship_and_does","uses_his_wealth_and_social",-1.2017673854923
"168","does_not_trouble_others_with","does_not_let_his_feelings_cloud",-4.35814027326865
"169","takes_the_lead_in_bed","is_faithful_to_his_roots",-1.49132105907324
"170","dresses_practically","values_competition_and_embraces",-3.15107268699256
"171","does_not_trouble_others_with","does_not_rely_on_the_kindness",-2.4317867001468
"172","cherishes_and_values_the","settles_disputes_by_applying",-2.78980305785126
"173","conservative","feminist",-4.51237467815503
"174","puts_his_bonds_with_other_men","feminist",-1.58746739048442
"175","always_looks_to_improve_himself","worth_is_measured_by_his",-1.02007192571767
"176","does_not_trouble_others_with","eats_whatever_food_he_wants",-3.00658559057689
"177","seeks_advice_when_he_wants_to","cherishes_and_values_the",-2.68651037670344
"178","seeks_advice_when_he_wants_to","does_not_lie",-3.65579348771109
"179","eats_whatever_food_he_wants","does_not_let_his_feelings_cloud",-1.94348216433167
"180","uses_his_wealth_and_social","puts_the_lives_of_others_over",-2.43002686376616
"181","liberal","egalitarian",-2.84307713967883
"182","has_the_confidence_that_if","cultivates_a_good_sense_of",-1.34038566223518
"183","is_secure_in_his_convictions","socialist",-2.31438395164463
"184","does_not_speak_ill_of_others","prioritises_clarity_and",-2.13056305435845
"185","is_unashamed_of_his_sexual","prioritises_clarity_and",-0.813166504515095
"186","is_able_to_provide_financially","doesn_t_let_the_little",-0.480904448119247
"187","has_a_plan_to_get_or_do_what_it","arrives_to_occasions_on_time",-1.62753562815908
"188","channels_his_anger_and","always_looks_to_improve_himself",-0.775268082629054
"189","conservative","has_the_confidence_to_speak",-3.57283310134011
"190","is_always_keen_to_explore_and","has_the_confidence_to_speak",-1.16889610196012
"191","takes_the_lead_in_bed","does_not_rely_on_the_kindness",-1.99379402563721
"192","cultivates_a_good_sense_of","is_open_clear_and_consistent_in",-1.80643694930495
"193","appreciates_beauty_in_all_of","does_not_need_to_prove_himself",-0.369674313563451
"194","doesn_t_let_the_little","does_not_let_fear_or",-2.67074661693619
"195","is_able_to_provide_financially","does_not_let_his_feelings_cloud",-0.556456186634421
"196","is_faithful_to_his_roots","has_a_cause_he_believes_in_and",-1.75721908519063
"197","dresses_practically","is_comfortable_with_who_he_is",-3.94406100163908
"198","takes_the_lead_in_bed","maintains_his_physical_strength",-1.85274414011738
"199","dresses_practically","cultivates_practical_skills_and",-1.08371901908117
"200","where_do_you_live","does_what_he_says_he_will_do",-1.77633005187022
"201","is_able_to_provide_financially","does_not_lie",-0.197417592649344
"202","is_unashamed_of_his_sexual","does_not_let_fear_or",-1.16820872883636
"203","has_a_penis","moderate",-3.39129996454622
"204","is_faithful_to_his_roots","conservative",-3.14613981394296
"205","feminist","libertarian",-1.56318787833905
"206","is_willing_to_endure_suffering","helps_other_men_to_be_good_men",-4.10656382262641
"207","has_a_cause_he_believes_in_and","men_s_rights_activist",-0.604920018872505
"208","does_not_let_his_feelings_cloud","shows_courtesy_by_holding_doors",-1.84494620830458
"209","arrives_to_occasions_on_time","shows_courtesy_by_holding_doors",-1.78136969209277
"210","does_not_trouble_others_with","helps_other_men_to_be_good_men",-1.46678233056917
"211","has_a_plan_to_get_or_do_what_it","is_open_clear_and_consistent_in",-1.90097136013668
"212","does_not_lie","is_open_clear_and_consistent_in",-1.60758637582904
"213","does_not_let_his_feelings_cloud","how_would_you_describe_your",-2.71173782055251
"214","is_faithful_to_his_roots","how_would_you_describe_your",-1.66873477673482
"215","does_not_trouble_others_with","appreciates_beauty_in_all_of",-3.71944029284361
"216","is_always_keen_to_explore_and","appreciates_beauty_in_all_of",-1.49107512285565
"217","doesn_t_let_the_little","values_competition_and_embraces",-1.21867836290551
